gene_name,aro_id,aro_name,antibiotic_class
Mycobacterium tuberculosis kasA mutant conferring resistance to isoniazid,3003463,Mycobacterium tuberculosis kasA mutant conferring resistance to isoniazid,
Escherichia coli 16S rRNA mutation conferring resistance to edeine,3003223,Escherichia coli 16S rRNA mutation conferring resistance to edeine,
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to amikacin,3003481,Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to amikacin,
Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin,3003495,Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin,
Escherichia coli EF-Tu mutants conferring resistance to kirromycin,3003368,Escherichia coli EF-Tu mutants conferring resistance to kirromycin,
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,3003369,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,
Mycobacteroides chelonae 16S rRNA mutation conferring resistance to kanamycin A,3003515,Mycobacteroides chelonae 16S rRNA mutation conferring resistance to kanamycin A,
Clostridioides difficile EF-Tu mutants conferring resistance to elfamycin,3003357,Clostridioides difficile EF-Tu mutants conferring resistance to elfamycin,
Escherichia coli gyrA conferring resistance to fluoroquinolones,3003294,Escherichia coli gyrA conferring resistance to fluoroquinolones,
Escherichia coli soxR with mutation conferring antibiotic resistance,3003381,Escherichia coli soxR with mutation conferring antibiotic resistance,
Escherichia coli parE conferring resistance to fluoroquinolones,3003316,Escherichia coli parE conferring resistance to fluoroquinolones,
Escherichia coli soxS with mutation conferring antibiotic resistance,3003511,Escherichia coli soxS with mutation conferring antibiotic resistance,
Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance,3003373,Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance,
Mycobacterium leprae folP with mutation conferring resistance to dapsone,3003389,Mycobacterium leprae folP with mutation conferring resistance to dapsone,
Mycobacterium tuberculosis ethA with mutation conferring resistance to ethionamide,3003458,Mycobacterium tuberculosis ethA with mutation conferring resistance to ethionamide,
Salmonella serovars parE conferring resistance to fluoroquinolones,3003317,Salmonella serovars parE conferring resistance to fluoroquinolones,
Salmonella serovars soxS with mutation conferring antibiotic resistance,3003383,Salmonella serovars soxS with mutation conferring antibiotic resistance,
Enterococcus faecalis liaF mutant conferring daptomycin resistance,3003077,Enterococcus faecalis liaF mutant conferring daptomycin resistance,
Staphylococcus aureus parE conferring resistance to aminocoumarin,3003314,Staphylococcus aureus parE conferring resistance to aminocoumarin,
Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides,3003387,Streptococcus pyogenes folP with mutation conferring resistance to sulfonamides,
Pasteurella multocida 16S rRNA mutation conferring resistance to spectinomycin,3003493,Pasteurella multocida 16S rRNA mutation conferring resistance to spectinomycin,
Escherichia coli EF-Tu mutants conferring resistance to Enacyloxin IIa,3003370,Escherichia coli EF-Tu mutants conferring resistance to Enacyloxin IIa,
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to streptomycin,3003480,Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to streptomycin,
LnuP,3004601,LnuP,
Bacillus subtilis mprF,3003324,Bacillus subtilis mprF,
Mycobacterium tuberculosis embB with mutation conferring resistance to rifampicin,3003465,Mycobacterium tuberculosis embB with mutation conferring resistance to rifampicin,
Staphylococcus aureus mprF with mutation conferring resistance to daptomycin,3003319,Staphylococcus aureus mprF with mutation conferring resistance to daptomycin,
Mycobacterium tuberculosis ndh with mutation conferring resistance to isoniazid,3003461,Mycobacterium tuberculosis ndh with mutation conferring resistance to isoniazid,
Neisseria gonorrhoeae porin PIB (por),3000464,Neisseria gonorrhoeae porin PIB (por),
Mycobacterium tuberculosis embC mutant conferring resistance to ethambutol,3003327,Mycobacterium tuberculosis embC mutant conferring resistance to ethambutol,
Mycobacterium leprae gyrB conferring resistance to fluoroquinolones,3003304,Mycobacterium leprae gyrB conferring resistance to fluoroquinolones,
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to neomycin,3003402,Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to neomycin,
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to G418,3003397,Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to G418,
Salmonella enterica 16S rRNA (rrsD) mutation conferring resistance to spectinomycin,3003512,Salmonella enterica 16S rRNA (rrsD) mutation conferring resistance to spectinomycin,
Mycobacterium tuberculosis gyrB mutant conferring resistance to fluoroquinolones,3003459,Mycobacterium tuberculosis gyrB mutant conferring resistance to fluoroquinolones,
Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to neomycin,3003544,Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to neomycin,
Staphylococcus aureus parC conferring resistance to fluoroquinolones,3003312,Staphylococcus aureus parC conferring resistance to fluoroquinolones,
Morganella morganii gyrB conferring resistance to fluoroquinolones,3003306,Morganella morganii gyrB conferring resistance to fluoroquinolones,
Mycobacterium leprae gyrA conferring resistance to fluoroquinolones,3003298,Mycobacterium leprae gyrA conferring resistance to fluoroquinolones,
Salmonella serovars gyrB conferring resistance to fluoroquinolones,3003307,Salmonella serovars gyrB conferring resistance to fluoroquinolones,
Klebsiella aerogenes Omp36,3003385,Klebsiella aerogenes Omp36,
Escherichia coli 16S rRNA (rrnB) mutation conferring resistance to spectinomycin,3003377,Escherichia coli 16S rRNA (rrnB) mutation conferring resistance to spectinomycin,
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to paromomycin,3003403,Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to paromomycin,
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to tobramycin,3003408,Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to tobramycin,
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to spectinomycin,3003376,Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to spectinomycin,
Salmonella enterica ramR mutants,3003379,Salmonella enterica ramR mutants,
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin,3003437,Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to viomycin,
Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,3003497,Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin,
glycopeptide resistance gene cluster VanN,3002917,glycopeptide resistance gene cluster VanN,
glycopeptide resistance gene cluster VanA,3000236,glycopeptide resistance gene cluster VanA,
glycopeptide resistance gene cluster VanO,3002918,glycopeptide resistance gene cluster VanO,
glycopeptide resistance gene cluster VanE,3000259,glycopeptide resistance gene cluster VanE,
glycopeptide resistance gene cluster VanL,3000260,glycopeptide resistance gene cluster VanL,
glycopeptide resistance gene cluster VanF,3000255,glycopeptide resistance gene cluster VanF,
glycopeptide resistance gene cluster VanD,3000253,glycopeptide resistance gene cluster VanD,
glycopeptide resistance gene cluster VanB,3000238,glycopeptide resistance gene cluster VanB,
glycopeptide resistance gene cluster VanC,3000246,glycopeptide resistance gene cluster VanC,
glycopeptide resistance gene cluster VanM,3000256,glycopeptide resistance gene cluster VanM,
glycopeptide resistance gene cluster VanG,3000257,glycopeptide resistance gene cluster VanG,
PDC-4,3002501,PDC-4,
TriA,3003679,TriA,
TriB,3003680,TriB,
TriC,3003681,TriC,
OpmH,3003682,OpmH,
OXA-480,3003637,OXA-480,
ACT-42,3006237,ACT-42,
Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,3003684,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,
mexP,3003698,mexP,
ADC-104,3006284,ADC-104,
mexQ,3003699,mexQ,
Salmonella enterica soxR with mutation conferring antibiotic resistance,3003382,Salmonella enterica soxR with mutation conferring antibiotic resistance,
Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,3003485,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,
Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,3003504,Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin,
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to kanamycin,3003436,Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to kanamycin,
Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,3003503,Borreliella burgdorferi 16S rRNA mutation conferring resistance to kanamycin,
Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,3003502,Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin,
Mycobacteroides chelonae 16S rRNA mutation conferring resistance to neomycin,3003518,Mycobacteroides chelonae 16S rRNA mutation conferring resistance to neomycin,
Mycobacteroides abscessus 16S rRNA mutation conferring resistance to gentamicin,3003240,Mycobacteroides abscessus 16S rRNA mutation conferring resistance to gentamicin,
Mycobacteroides chelonae 16S rRNA mutation conferring resistance to tobramycin,3003516,Mycobacteroides chelonae 16S rRNA mutation conferring resistance to tobramycin,
Mycobacteroides abscessus 16S rRNA mutation conferring resistance to amikacin,3003239,Mycobacteroides abscessus 16S rRNA mutation conferring resistance to amikacin,
Mycobacteroides abscessus 16S rRNA mutation conferring resistance to neomycin,3003238,Mycobacteroides abscessus 16S rRNA mutation conferring resistance to neomycin,
Cutibacterium acnes 16S rRNA mutation conferring resistance to tetracycline,3003499,Cutibacterium acnes 16S rRNA mutation conferring resistance to tetracycline,
Mycobacteroides chelonae 16S rRNA mutation conferring resistance to amikacin,3003514,Mycobacteroides chelonae 16S rRNA mutation conferring resistance to amikacin,
Mycobacteroides chelonae 16S rRNA mutation conferring resistance to gentamicin C,3003517,Mycobacteroides chelonae 16S rRNA mutation conferring resistance to gentamicin C,
Mycobacteroides abscessus 16S rRNA mutation conferring resistance to kanamycin,3003236,Mycobacteroides abscessus 16S rRNA mutation conferring resistance to kanamycin,
Mycobacteroides abscessus 16S rRNA mutation conferring resistance to tobramycin,3003237,Mycobacteroides abscessus 16S rRNA mutation conferring resistance to tobramycin,
Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones,3003685,Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones,
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to kanamycin A,3003399,Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to kanamycin A,
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to streptomycin,3003405,Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to streptomycin,
Escherichia coli 16S rRNA (rrnB) mutation conferring resistance to streptomycin,3003406,Escherichia coli 16S rRNA (rrnB) mutation conferring resistance to streptomycin,
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to gentamicin C,3003396,Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to gentamicin C,
Escherichia coli parC conferring resistance to fluoroquinolones,3003308,Escherichia coli parC conferring resistance to fluoroquinolones,
Mycoplasma hominis parC conferring resistance to fluoroquinolones,3003310,Mycoplasma hominis parC conferring resistance to fluoroquinolones,
Escherichia coli 16S rRNA (rrsC) mutation conferring resistance to kasugamicin,3003333,Escherichia coli 16S rRNA (rrsC) mutation conferring resistance to kasugamicin,
Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to tetracycline,3003410,Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to tetracycline,
Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to hygromycin B,3003540,Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to hygromycin B,
Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to hygromycin B,3003539,Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to hygromycin B,
Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to kanamycin A,3003543,Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to kanamycin A,
Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to streptomycin,3003541,Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to streptomycin,
Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to neomycin,3003545,Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to neomycin,
Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to kanamycin A,3003542,Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to kanamycin A,
Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to viomycin,3003546,Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to viomycin,
MexJ,3003692,MexJ,
MexK,3003693,MexK,
MexV,3003030,MexV,
MexW,3003031,MexW,
opmE,3003700,opmE,
mexM,3003704,mexM,
mexN,3003705,mexN,
AAC(6')-Iaj,3003677,AAC(6')-Iaj,
VCC-1,3003713,VCC-1,
PEDO-1,3003670,PEDO-1,
PEDO-2,3003714,PEDO-2,
PEDO-3,3003715,PEDO-3,
CPS-1,3003716,CPS-1,
ESP-1,3003717,ESP-1,
MSI-1,3003718,MSI-1,
MSI-OXA,3003719,MSI-OXA,
SPG-1,3003720,SPG-1,
OXA-288,3001743,OXA-288,
FONA-2,3004789,FONA-2,
PDC-118,3005278,PDC-118,
vanJ,3002914,vanJ,
fusD,3003731,fusD,
QnrS11,3004624,QnrS11,
ADC-105,3006285,ADC-105,
LpxA,3003573,LpxA,
LpxC,3003574,LpxC,
Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A,3003361,Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A,
mphG,3003742,mphG,
Pseudomonas aeruginosa oprD with mutation conferring resistance to imipenem,3003686,Pseudomonas aeruginosa oprD with mutation conferring resistance to imipenem,
vanI,3003723,vanI,
OXA-346,3001534,OXA-346,
OXA-439,3003595,OXA-439,
OXA-477,3003634,OXA-477,
vatF,3003744,vatF,
lnuE,3003762,lnuE,
oleC,3003748,oleC,
salA,3003749,salA,
RlmA(II),3001301,RlmA(II),
ACT-38,3003655,ACT-38,
QnrS10,3004622,QnrS10,
vanS gene in vanD cluster,3002934,vanS gene in vanD cluster,
PvrR,3003688,PvrR,
Listeria monocytogenes mprF,3003770,Listeria monocytogenes mprF,
Brucella suis mprF,3003772,Brucella suis mprF,
Clostridium perfringens mprF,3003773,Clostridium perfringens mprF,
Streptococcus agalactiae mprF,3003774,Streptococcus agalactiae mprF,
Staphylococcus aureus ileS with mutation conferring resistance to mupirocin,3003729,Staphylococcus aureus ileS with mutation conferring resistance to mupirocin,
Escherichia coli murA with mutation conferring resistance to fosfomycin,3003775,Escherichia coli murA with mutation conferring resistance to fosfomycin,
Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,3003784,Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,
Mycoplasma genitalium 23S rRNA mutations confers resistance to fluoroquinolone and macrolide antibiotics,3004616,Mycoplasma genitalium 23S rRNA mutations confers resistance to fluoroquinolone and macrolide antibiotics,
mphM,3003767,mphM,
cmlA8,3004665,cmlA8,
vanR gene in vanI cluster,3003728,vanR gene in vanI cluster,
vanX gene in vanI cluster,3003725,vanX gene in vanI cluster,
fusC,3003733,fusC,
Staphylococcus aureus mprF,3003769,Staphylococcus aureus mprF,
LpxD,3003575,LpxD,
optrA,3003746,optrA,
eatAv,3003761,eatAv,
ADC-106,3006286,ADC-106,
Staphylococcus aureus murA with mutation conferring resistance to fosfomycin,3003776,Staphylococcus aureus murA with mutation conferring resistance to fosfomycin,
ADC-10,3003855,ADC-10,
ADC-30,3004617,ADC-30,
ADC-58,3004618,ADC-58,
ADC-11,3004615,ADC-11,
SPM-1,3003793,SPM-1,
ACT-8,3001831,ACT-8,
ADC-59,3004619,ADC-59,
Borreliella burgdorferi murA with mutation conferring resistance to fosfomycin,3003777,Borreliella burgdorferi murA with mutation conferring resistance to fosfomycin,
AAC(3)-IIe,3004621,AAC(3)-IIe,
Mycobacterium tuberculosis variant bovis ndh with mutation conferring resistance to isoniazid,3003779,Mycobacterium tuberculosis variant bovis ndh with mutation conferring resistance to isoniazid,
gadW,3003838,gadW,
cdeA,3003835,cdeA,
OXA-364,3001551,OXA-364,
Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin,3003359,Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin,
Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,3003789,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,
Enterococcus faecalis YvlB with mutation conferring daptomycin resistance,3003815,Enterococcus faecalis YvlB with mutation conferring daptomycin resistance,
Enterococcus faecalis drmA with mutation conferring daptomycin resistance,3003813,Enterococcus faecalis drmA with mutation conferring daptomycin resistance,
Enterococcus faecalis gdpD with mutation conferring daptomycin resistance,3003800,Enterococcus faecalis gdpD with mutation conferring daptomycin resistance,
Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones,3003817,Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones,
Enterococcus faecalis gshF with mutation conferring daptomycin resistance,3003805,Enterococcus faecalis gshF with mutation conferring daptomycin resistance,
Enterococcus faecalis YybT with mutation conferring daptomycin resistance,3003797,Enterococcus faecalis YybT with mutation conferring daptomycin resistance,
OXA-440,3003596,OXA-440,
Enterococcus faecium liaF mutant conferring daptomycin resistance,3003790,Enterococcus faecium liaF mutant conferring daptomycin resistance,
Enterococcus faecalis liaS mutant conferring daptomycin resistance,3003791,Enterococcus faecalis liaS mutant conferring daptomycin resistance,
Enterococcus faecalis liaR mutant conferring daptomycin resistance,3003792,Enterococcus faecalis liaR mutant conferring daptomycin resistance,
OXA-478,3003635,OXA-478,
FAR-1,3004784,FAR-1,
LEN-41,3004844,LEN-41,
TLA-3,3003204,TLA-3,
ADC-60,3004620,ADC-60,
MOX-9,3002191,MOX-9,
AAC(6')-Ian,3003200,AAC(6')-Ian,
FRI-1,3004797,FRI-1,
kdpE,3003841,kdpE,
LEN-26,3002474,LEN-26,
ADC-2,3003848,ADC-2,
AAC(3)-IId,3004623,AAC(3)-IId,
Erm(49),3004626,Erm(49),
ADC-188,3006357,ADC-188,
carO,3003808,carO,
Bacillus subtilis pgsA with mutation conferring resistance to daptomycin,3003788,Bacillus subtilis pgsA with mutation conferring resistance to daptomycin,
Staphylococcus aureus walK with mutation conferring resistance to daptomycin,3003794,Staphylococcus aureus walK with mutation conferring resistance to daptomycin,
Acinetobacter baumannii parC conferring resistance to fluoroquinolones,3003818,Acinetobacter baumannii parC conferring resistance to fluoroquinolones,
Acinetobacter baumannii OprD conferring resistance to imipenem,3003809,Acinetobacter baumannii OprD conferring resistance to imipenem,
MUS-2,3003842,MUS-2,
AAC(6')-Im,3004629,AAC(6')-Im,
ADC-67,3004633,ADC-67,
ADC-73,3004634,ADC-73,
AAC(6')-Il,3004635,AAC(6')-Il,
qnrE1,3004636,qnrE1,
qnrE2,3004637,qnrE2,
Corynebacterium striatum tetA,3004639,Corynebacterium striatum tetA,
dfrA15b,3004640,dfrA15b,
Erm(K),3004643,Erm(K),
dfrA6 from Proteus mirabilis,3004644,dfrA6 from Proteus mirabilis,
dfrI,3004645,dfrI,
AQU-2,3004647,AQU-2,
cfr(B),3004649,cfr(B),
nalC,3000818,nalC,
Escherichia coli UhpT with mutation conferring resistance to fosfomycin,3003890,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,
Pseudomonas mutant PhoQ conferring resistance to colistin,3003896,Pseudomonas mutant PhoQ conferring resistance to colistin,
ADC-1,3003847,ADC-1,
ADC-3,3003849,ADC-3,
ADC-4,3003850,ADC-4,
ADC-6,3003852,ADC-6,
ADC-7,3003853,ADC-7,
ADC-8,3003854,ADC-8,
ADC-5,3003851,ADC-5,
ADC-12,3003856,ADC-12,
ADC-156,3006330,ADC-156,
QnrS12,3004625,QnrS12,
ANT(4')-Ib,3003905,ANT(4')-Ib,
ADC-62,3004632,ADC-62,
Erm(47),3003908,Erm(47),
dfrA3b,3004642,dfrA3b,
AQU-3,3004648,AQU-3,
LEN-17,3002473,LEN-17,
Escherichia coli uhpA with mutation conferring resistance to fosfomycin,3003893,Escherichia coli uhpA with mutation conferring resistance to fosfomycin,
Escherichia coli cyaA with mutation conferring resistance to fosfomycin,3003900,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,
OXA-368,3001555,OXA-368,
TEM-220,3003158,TEM-220,
oqxA,3003922,oqxA,
oqxB,3003923,oqxB,
aadA10,3004692,aadA10,
Streptococcus pneumoniae parC conferring resistance to fluoroquinolones,3003311,Streptococcus pneumoniae parC conferring resistance to fluoroquinolones,
Ureaplasma urealyticum parC conferring resistance to fluoroquinolones,3003309,Ureaplasma urealyticum parC conferring resistance to fluoroquinolones,
Haemophilus parainfluenzae gyrA conferring resistance to fluoroquinolones,3003924,Haemophilus parainfluenzae gyrA conferring resistance to fluoroquinolones,
Haemophilus parainfluenzae parC conferring resistance to fluoroquinolones,3003925,Haemophilus parainfluenzae parC conferring resistance to fluoroquinolones,
Salmonella enterica gyrA conferring resistance to fluoroquinolones,3003926,Salmonella enterica gyrA conferring resistance to fluoroquinolones,
rpsJ,3003930,rpsJ,
Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,3003931,Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,
OXA-291,3001746,OXA-291,
Salmonella enterica parC conferring resistance to fluoroquinolones,3003939,Salmonella enterica parC conferring resistance to fluoroquinolones,
apmA,3003918,apmA,
Shigella flexneri gyrA conferring resistance to fluoroquinolones,3003940,Shigella flexneri gyrA conferring resistance to fluoroquinolones,
Shigella flexneri parC conferring resistance to fluoroquinolones,3003941,Shigella flexneri parC conferring resistance to fluoroquinolones,
Neisseria meningititis PBP2 conferring resistance to beta-lactam,3003937,Neisseria meningititis PBP2 conferring resistance to beta-lactam,
abcA,3003942,abcA,
OXA-372,3001558,OXA-372,
Streptococcus pneumoniae PBP2b conferring resistance to amoxicillin,3003042,Streptococcus pneumoniae PBP2b conferring resistance to amoxicillin,
cipA,3003907,cipA,
OXA-441,3003597,OXA-441,
OXA-479,3003636,OXA-479,
FIM-1,3004786,FIM-1,
FONA-1,3004788,FONA-1,
FPH-1,3004795,FPH-1,
Staphylococcus aureus menA with mutation conferring resistance to lysocin,3003917,Staphylococcus aureus menA with mutation conferring resistance to lysocin,
Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin,3003901,Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin,
Cutibacterium acnes gyrA conferring resistance to fluoroquinolones,3003974,Cutibacterium acnes gyrA conferring resistance to fluoroquinolones,
Staphylococcus aureus UhpT with mutation conferring resistance to fosfomycin,3003902,Staphylococcus aureus UhpT with mutation conferring resistance to fosfomycin,
QnrS15,3004627,QnrS15,
Erm(O)-lrm,3004652,Erm(O)-lrm,
efrA,3003948,efrA,
efrB,3003949,efrB,
PDC-384,3005283,PDC-384,
msbA,3003950,msbA,
hmrM,3003953,hmrM,
Clostridioides difficile 23S rRNA with mutation conferring resistance to erythromycin and clindamycin,3004654,Clostridioides difficile 23S rRNA with mutation conferring resistance to erythromycin and clindamycin,
efmA,3003954,efmA,
efpA,3003955,efpA,
farA,3003961,farA,
farB,3003962,farB,
NDM-20,3004863,NDM-20,
hp1181,3003964,hp1181,
lmrP,3003969,lmrP,
Pseudomonas mutant PhoP conferring resistance to colistin,3003895,Pseudomonas mutant PhoP conferring resistance to colistin,
ADC-189,3006358,ADC-189,
lfrA,3003967,lfrA,
D-Ala-D-Ala ligase,3003970,D-Ala-D-Ala ligase,
catII from Escherichia coli K-12,3004656,catII from Escherichia coli K-12,
catA4,3004657,catA4,
catA8,3004658,catA8,
Mef(En2),3004659,Mef(En2),
catB11,3004660,catB11,
lin,3004651,lin,
Staphylococcus aureus FosB,3004661,Staphylococcus aureus FosB,
MCR-3.3,3004662,MCR-3.3,
FusF,3004663,FusF,
Staphylococcus aureus norA,3004667,Staphylococcus aureus norA,
Klebsiella pneumoniae OmpK35,3003966,Klebsiella pneumoniae OmpK35,
Klebsiella pneumoniae OmpK36,3003968,Klebsiella pneumoniae OmpK36,
FosB1,3004670,FosB1,
FosB4,3004671,FosB4,
AAC(2')-IIa,3004628,AAC(2')-IIa,
OXA-296,3001751,OXA-296,
Clostridioides difficile rpoB with mutation conferring resistance to rifampicin,3004563,Clostridioides difficile rpoB with mutation conferring resistance to rifampicin,
emtA,3004669,emtA,
FosB5,3004672,FosB5,
aphA15,3004675,aphA15,
OXA-292,3001747,OXA-292,
OXA-373,3001559,OXA-373,
OXA-442,3003598,OXA-442,
ACT-43,3006238,ACT-43,
MCR-3.12,3004693,MCR-3.12,
sta,3004699,sta,
Mycobacterium tuberculosis variant bovis embB with mutation conferring resistance to ethambutol,3003325,Mycobacterium tuberculosis variant bovis embB with mutation conferring resistance to ethambutol,
Halobacterium salinarum 16S rRNA mutation conferring resistance to pactamycin,3003977,Halobacterium salinarum 16S rRNA mutation conferring resistance to pactamycin,
Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,3003510,Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline,
LEN-42,3004845,LEN-42,
OXA-293,3001748,OXA-293,
Mycobacterium tuberculosis Rv0191 mutations confer resistance to pyrazinamide,3004981,Mycobacterium tuberculosis Rv0191 mutations confer resistance to pyrazinamide,
Mycobacterium tuberculosis inbR mutations conferring resistance to isoniazid,3004924,Mycobacterium tuberculosis inbR mutations conferring resistance to isoniazid,
Mycobacteroides chelonae 23S rRNA with mutation conferring resistance to clarithromycin,3004165,Mycobacteroides chelonae 23S rRNA with mutation conferring resistance to clarithromycin,
pexA,3004666,pexA,
FosB6,3004673,FosB6,
rmtD2,3004677,rmtD2,
APH(3')-VIIIa,3004680,APH(3')-VIIIa,
LlmA 23S ribosomal RNA methyltransferase,3003982,LlmA 23S ribosomal RNA methyltransferase,
CatU,3003983,CatU,
BahA,3003984,BahA,
TaeA,3003986,TaeA,
VatI,3003987,VatI,
AAC(2')-IIb,3003988,AAC(2')-IIb,
AAC(6')-34,3003989,AAC(6')-34,
mphI,3003991,mphI,
rphB,3003992,rphB,
cpaA,3003994,cpaA,
aadS,3004683,aadS,
MCR-1.5,3004685,MCR-1.5,
MCR-1.11,3004688,MCR-1.11,
Clostridioides difficile rpoC with mutation conferring resistance to vancomycin,3004681,Clostridioides difficile rpoC with mutation conferring resistance to vancomycin,
aadA27,3004682,aadA27,
MuxA,3004073,MuxA,
tetA(58),3003980,tetA(58),
vgbC,3003990,vgbC,
MCR-9.1,3004684,MCR-9.1,
aadA8b,3004704,aadA8b,
vga(E) Staphylococcus cohnii,3004715,vga(E) Staphylococcus cohnii,
OXA-392,3001578,OXA-392,
Clostridioides difficile gyrA conferring resistance to fluoroquinolones,3003995,Clostridioides difficile gyrA conferring resistance to fluoroquinolones,
FosD,3004674,FosD,
rmtE,3004678,rmtE,
MCR-1.7,3004686,MCR-1.7,
MCR-1.12,3004689,MCR-1.12,
MCR-4.2,3004694,MCR-4.2,
OXA-294,3001749,OXA-294,
tva(A),3004730,tva(A),
OXA-400,3001586,OXA-400,
glycopeptide resistance gene cluster VanI,3003722,glycopeptide resistance gene cluster VanI,
OXA-443,3003599,OXA-443,
OXA-482,3003639,OXA-482,
FONA-3,3004790,FONA-3,
FRI-2,3004798,FRI-2,
LEN-43,3004846,LEN-43,
NDM-27,3004870,NDM-27,
Mycobacterium tuberculosis Rv1667 mutations confer resistance to pyrazinamide,3004984,Mycobacterium tuberculosis Rv1667 mutations confer resistance to pyrazinamide,
Mycobacterium tuberculosis mshA mutations conferring resistance to isoniazid,3004925,Mycobacterium tuberculosis mshA mutations conferring resistance to isoniazid,
ADC-31,3003870,ADC-31,
ADC-39,3003871,ADC-39,
rmtE2,3004679,rmtE2,
MCR-1.8,3004687,MCR-1.8,
MCR-1.13,3004690,MCR-1.13,
MCR-4.3,3004695,MCR-4.3,
